Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Negatif Login fb ver 3,Chrome 104.0.5112.81,"email salah  : darienagree (benar : darienagree@gmail.com)
pw benar Yes12345",,2022-08-17 11:43:37,2022-08-17 11:44:03,"26,152s",PASSED
Start listener action : sampleBeforeTestCase,Chrome 104.0.5112.81,,,2022-08-17 11:43:37,2022-08-17 11:43:37,"0,005s",PASSED
"openBrowser("""")",Chrome 104.0.5112.81,,,2022-08-17 11:43:37,2022-08-17 11:43:40,"2,900s",PASSED
maximizeWindow(),Chrome 104.0.5112.81,,,2022-08-17 11:43:40,2022-08-17 11:43:41,"0,166s",PASSED
"navigateToUrl(""https://www.facebook.com/login"")",Chrome 104.0.5112.81,,,2022-08-17 11:43:41,2022-08-17 11:43:49,"8,116s",PASSED
"setText(findTestObject(""Object Repository/login email gapake gmail, pw benar/Page_Log in to Facebook/input_Log in to Facebook_email""), ""darienagree"")",Chrome 104.0.5112.81,,,2022-08-17 11:43:49,2022-08-17 11:43:50,"1,276s",PASSED
"setEncryptedText(findTestObject(""Object Repository/login email gapake gmail, pw benar/Page_Log in to Facebook/input_Log in to Facebook_pass""), ""CP4kq14s4UIcGFAtz0pEkw=="")",Chrome 104.0.5112.81,,,2022-08-17 11:43:50,2022-08-17 11:43:51,"0,683s",PASSED
"click(findTestObject(""Object Repository/login email gapake gmail, pw benar/Page_Log in to Facebook/button_Log In""))",Chrome 104.0.5112.81,,,2022-08-17 11:43:51,2022-08-17 11:43:51,"0,598s",PASSED
waitForAlert(10),Chrome 104.0.5112.81,,,2022-08-17 11:43:51,2022-08-17 11:44:01,"10,138s",PASSED
closeBrowser(),Chrome 104.0.5112.81,,,2022-08-17 11:44:01,2022-08-17 11:44:03,"1,766s",PASSED
Start listener action : sampleAfterTestCase,Chrome 104.0.5112.81,,,2022-08-17 11:44:03,2022-08-17 11:44:03,"0,004s",PASSED
,,,,,,,
Test Cases/Negatif Login fb ver 4,Chrome 104.0.5112.81,"email benar darienagree@gmail.com
password salah yes12345 (benar : Yes12345)",,2022-08-17 11:44:03,2022-08-17 11:44:46,"43,266s",FAILED
Start listener action : sampleBeforeTestCase,Chrome 104.0.5112.81,,,2022-08-17 11:44:03,2022-08-17 11:44:03,"0,004s",PASSED
"openBrowser("""")",Chrome 104.0.5112.81,,,2022-08-17 11:44:04,2022-08-17 11:44:10,"5,680s",PASSED
maximizeWindow(),Chrome 104.0.5112.81,,,2022-08-17 11:44:10,2022-08-17 11:44:10,"0,145s",PASSED
"navigateToUrl(""https://www.facebook.com/login"")",Chrome 104.0.5112.81,,,2022-08-17 11:44:10,2022-08-17 11:44:20,"10,015s",PASSED
"setText(findTestObject(""Object Repository/email benar, pw salah 1 huruf/Page_Log in to Facebook/input_Log in to Facebook_email""), ""darienagree@gmail.com"")",Chrome 104.0.5112.81,,,2022-08-17 11:44:20,2022-08-17 11:44:21,"0,976s",PASSED
"setEncryptedText(findTestObject(""Object Repository/email benar, pw salah 1 huruf/Page_Log in to Facebook/input_Log in to Facebook_pass""), ""vQCARFRNWVUan1/SSUktaw=="")",Chrome 104.0.5112.81,,,2022-08-17 11:44:21,2022-08-17 11:44:22,"0,716s",PASSED
"click(findTestObject(""Object Repository/email benar, pw salah 1 huruf/Page_Log in to Facebook/button_Log In""))",Chrome 104.0.5112.81,,,2022-08-17 11:44:22,2022-08-17 11:44:22,"0,514s",PASSED
waitForAlert(5),Chrome 104.0.5112.81,,,2022-08-17 11:44:22,2022-08-17 11:44:27,"5,061s",PASSED
"getText(findTestObject(""email benar, pw salah 1 huruf/Page_Log in to Facebook/alert""))",Chrome 104.0.5112.81,,,2022-08-17 11:44:27,2022-08-17 11:44:46,"19,364s",FAILED
Start listener action : sampleAfterTestCase,Chrome 104.0.5112.81,,,2022-08-17 11:44:46,2022-08-17 11:44:46,"0,002s",PASSED
,,,,,,,
Test Cases/Negatif Login fb,Chrome 104.0.5112.81,"input email benar darienagree@gmail.com
input password salah",,2022-08-17 11:44:47,2022-08-17 11:45:12,"25,443s",PASSED
Start listener action : sampleBeforeTestCase,Chrome 104.0.5112.81,,,2022-08-17 11:44:47,2022-08-17 11:44:47,"0,002s",PASSED
"openBrowser("""")",Chrome 104.0.5112.81,,,2022-08-17 11:44:47,2022-08-17 11:44:56,"8,172s",PASSED
maximizeWindow(),Chrome 104.0.5112.81,,,2022-08-17 11:44:56,2022-08-17 11:44:56,"0,145s",PASSED
"navigateToUrl(""https://www.facebook.com/login"")",Chrome 104.0.5112.81,,,2022-08-17 11:44:56,2022-08-17 11:45:02,"6,770s",PASSED
"setText(findTestObject(""Object Repository/login negatif/Page_Log in to Facebook/input_Log in to Facebook_email""), ""darienagree@gmail.com"")",Chrome 104.0.5112.81,,,2022-08-17 11:45:02,2022-08-17 11:45:04,"1,579s",PASSED
"setEncryptedText(findTestObject(""Object Repository/login negatif/Page_Log in to Facebook/input_Log in to Facebook_pass""), ""OLUQhjYwpvB4kdu1+lGVeA=="")",Chrome 104.0.5112.81,,,2022-08-17 11:45:04,2022-08-17 11:45:05,"0,720s",PASSED
"click(findTestObject(""Object Repository/login negatif/Page_Log in to Facebook/button_Log In""))",Chrome 104.0.5112.81,,,2022-08-17 11:45:05,2022-08-17 11:45:05,"0,494s",PASSED
"waitForAlert(5, STOP_ON_FAILURE)",Chrome 104.0.5112.81,,,2022-08-17 11:45:05,2022-08-17 11:45:11,"6,056s",PASSED
closeBrowser(),Chrome 104.0.5112.81,,,2022-08-17 11:45:11,2022-08-17 11:45:12,"1,014s",PASSED
Start listener action : sampleAfterTestCase,Chrome 104.0.5112.81,,,2022-08-17 11:45:12,2022-08-17 11:45:12,"0,002s",PASSED
,,,,,,,
Test Cases/Positif Login fb,Chrome 104.0.5112.81,,,2022-08-17 11:45:12,2022-08-17 11:45:26,"13,276s",PASSED
Start listener action : sampleBeforeTestCase,Chrome 104.0.5112.81,,,2022-08-17 11:45:13,2022-08-17 11:45:13,"0,003s",PASSED
"openBrowser("""")",Chrome 104.0.5112.81,,,2022-08-17 11:45:13,2022-08-17 11:45:16,"2,901s",PASSED
maximizeWindow(),Chrome 104.0.5112.81,,,2022-08-17 11:45:16,2022-08-17 11:45:16,"0,168s",PASSED
"navigateToUrl(""https://www.facebook.com/login"")",Chrome 104.0.5112.81,,,2022-08-17 11:45:16,2022-08-17 11:45:22,"5,704s",PASSED
"setText(findTestObject(""Object Repository/Page_Log in to Facebook/input_Log in to Facebook_email""), ""darienagree@gmail.com"")",Chrome 104.0.5112.81,,,2022-08-17 11:45:22,2022-08-17 11:45:24,"1,657s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Log in to Facebook/input_Log in to Facebook_pass""), ""CP4kq14s4UIcGFAtz0pEkw=="")",Chrome 104.0.5112.81,,,2022-08-17 11:45:24,2022-08-17 11:45:24,"0,662s",PASSED
"click(findTestObject(""Object Repository/Page_Log in to Facebook/button_Log In""))",Chrome 104.0.5112.81,,,2022-08-17 11:45:24,2022-08-17 11:45:25,"0,502s",PASSED
closeBrowser(),Chrome 104.0.5112.81,,,2022-08-17 11:45:25,2022-08-17 11:45:26,"0,960s",PASSED
Start listener action : sampleAfterTestCase,Chrome 104.0.5112.81,,,2022-08-17 11:45:26,2022-08-17 11:45:26,"0,002s",PASSED
